A1CF_ENSGALT00000057851.2	A1CF
A1CF_rna-XM_003641458.4	A1CF
A1CF_rna-XM_015278705.2	A1CF
A1CF_rna-XM_421561.6	A1CF
AACS_ENSGALT00000004577.6	AACS
AADAC_ENSGALT00000016884.6	AADAC
AADAC_rna-XM_004943567.3	AADAC
AADAC_rna-XM_015291844.1	AADAC
AADAC_rna-XM_422836.6	AADAC
AADAT_ENSGALT00000015723.6	AADAT
AADAT_ENSGALT00000058507.2	AADAT
AADAT_rna-XM_004940922.3	AADAT
AADAT_rna-XM_004940923.3	AADAT
AADAT_rna-XM_015285387.2	AADAT
AADAT_rna-XM_426286.6	AADAT
AAGAB_ENSGALT00000104070.1	AAGAB
AAGAB_rna-NM_001271528.1	AAGAB
AAK1_rna-XM_015297334.2	AAK1
AAK1_rna-XM_015297336.2	AAK1
AAK1_rna-XM_015297337.2	AAK1
AAK1_rna-XM_025142909.1	AAK1
AAK1_rna-XM_025142911.1	AAK1
AAK1_rna-XM_025142915.1	AAK1
AAK1_rna-XM_025142916.1	AAK1
AAK1_rna-XM_025142918.1	AAK1
AAMDC_ENSGALT00000060312.3	AAMDC
AAMDC_ENSGALT00000066015.3	AAMDC
AAMDC_ENSGALT00000083130.2	AAMDC
AAMP_ENSGALT00000087444.2	AAMP
AAMP_rna-NM_001079747.1	AAMP
AAMP_rna-XM_025152264.1	AAMP
AANAT_ENSGALT00000003024.4	AANAT
AANAT_rna-NM_205158.1	AANAT
AANAT_rna-XM_015295119.2	AANAT
AAR2_ENSGALT00000040660.4	AAR2
AAR2_rna-XM_025142187.1	AAR2
AARS2_ENSGALT00000051279.2	AARS2
AARS2_rna-XM_025148691.1	AARS2
AARS2_rna-XM_025148692.1	AARS2
AARS_rna-NM_001005836.1	AARS
AARS_rna-XM_015279131.2	AARS
AARS_rna-XM_015279132.2	AARS
AASDHPPT_ENSGALT00000045696.3	AASDHPPT
AASDHPPT_rna-NM_001278088.1	AASDHPPT
AASDHPPT_rna-XM_015278138.2	AASDHPPT
AASDH_ENSGALT00000022357.6	AASDH
AASS_rna-XM_015282251.2	AASS
AASS_rna-XM_025154004.1	AASS
AATF_ENSGALT00000008707.7	AATF
AATF_rna-NM_001030724.2	AATF
ABAT_ENSGALT00000011867.6	ABAT
ABAT_ENSGALT00000055148.2	ABAT
ABAT_ENSGALT00000094273.1	ABAT
ABAT_rna-XM_004945324.3	ABAT
ABAT_rna-XM_015294584.2	ABAT
ABAT_rna-XM_025155226.1	ABAT
ABCA12_ENSGALT00000005620.6	ABCA12
ABCA12_rna-XM_015289304.2	ABCA12
ABCA1_ENSGALT00000024891.8	ABCA1
ABCA1_rna-NM_204145.2	ABCA1
ABCA2_ENSGALT00000067248.2	ABCA2
ABCA2_rna-XM_015279607.2	ABCA2
ABCA2_rna-XM_015279609.2	ABCA2
ABCA2_rna-XM_015279610.2	ABCA2
ABCA2_rna-XM_015279611.2	ABCA2
ABCA2_rna-XM_015279612.2	ABCA2
ABCA4_rna-XM_015290702.2	ABCA4
ABCA4_rna-XM_015290703.2	ABCA4
ABCA4_rna-XM_015290704.2	ABCA4
ABCA4_rna-XM_015290707.2	ABCA4
ABCA5_ENSGALT00000006907.6	ABCA5
ABCA5_rna-XM_015279942.2	ABCA5
ABCA5_rna-XM_015279943.2	ABCA5
ABCB10_rna-XM_015284389.2	ABCB10
ABCB11_rna-XM_003641637.4	ABCB11
ABCB11_rna-XM_004942757.3	ABCB11
ABCB11_rna-XM_004942758.3	ABCB11
ABCB11_rna-XM_015289673.2	ABCB11
ABCB11_rna-XM_025152622.1	ABCB11
ABCB11_rna-XM_025152623.1	ABCB11
ABCB7_ENSGALT00000012629.6	ABCB7
ABCB7_rna-XM_015278590.2	ABCB7
ABCB7_rna-XM_420301.6	ABCB7
ABCB9_ENSGALT00000005928.6	ABCB9
ABCB9_rna-XM_415125.5	ABCB9
ABCC4_ENSGALT00000085249.2	ABCC4
ABCC4_rna-XM_025150273.1	ABCC4
ABCC5_rna-XM_004943392.3	ABCC5
ABCC5_rna-XM_015291559.2	ABCC5
ABCC5_rna-XM_025153502.1	ABCC5
ABCC5_rna-XM_422754.6	ABCC5
ABCD3_ENSGALT00000009059.4	ABCD3
ABCD3_rna-NM_001012597.1	ABCD3
ABCE1_ENSGALT00000016194.5	ABCE1
ABCE1_rna-NM_001006440.1	ABCE1
ABCF2_ENSGALT00000050193.2	ABCF2
ABCF2_ENSGALT00000103214.1	ABCF2
ABCF2_rna-NM_001006562.1	ABCF2
ABCF2_rna-XM_015281023.2	ABCF2
ABCG1_ENSGALT00000026046.6	ABCG1
ABCG1_rna-XM_025145525.1	ABCG1
ABCG1_rna-XM_416742.6	ABCG1
ABCG2_ENSGALT00000055859.2	ABCG2
ABCG2_rna-NM_001328490.1	ABCG2
ABCG2_rna-XM_004942106.2	ABCG2
ABCG2_rna-XM_004942108.3	ABCG2
ABCG2_rna-XM_015288450.2	ABCG2
ABCG2_rna-XM_015288451.2	ABCG2
ABCG2_rna-XM_025151575.1	ABCG2
ABCG2_rna-XM_025151576.1	ABCG2
ABCG2_rna-XM_421638.6	ABCG2
ABCG5_ENSGALT00000016182.6	ABCG5
ABCG5_rna-XM_419457.6	ABCG5
ABCG8_ENSGALT00000016186.6	ABCG8
ABCG8_rna-XM_015283834.1	ABCG8
ABCG8_rna-XM_015283835.2	ABCG8
ABCG8_rna-XM_419458.6	ABCG8
ABHD10_ENSGALT00000024813.6	ABHD10
ABHD10_rna-XM_416633.6	ABHD10
ABHD11_ENSGALT00000001583.6	ABHD11
ABHD11_rna-XM_025142106.1	ABHD11
ABHD13_ENSGALT00000084711.2	ABHD13
ABHD13_rna-XM_015274166.2	ABHD13
ABHD14A_rna-XM_015292858.2	ABHD14A
ABHD17A_ENSGALT00000052871.2	ABHD17A
ABHD17A_rna-XM_025144350.1	ABHD17A
ABHD17C_rna-XM_025153838.1	ABHD17C
ABHD2_ENSGALT00000095721.1	ABHD2
ABHD2_rna-XM_004943845.3	ABHD2
ABHD2_rna-XM_004943846.3	ABHD2
ABHD2_rna-XM_015292048.2	ABHD2
ABHD3_rna-XM_004939768.3	ABHD3
ABHD3_rna-XM_015277966.2	ABHD3
ABHD6_ENSGALT00000009138.6	ABHD6
ABHD6_rna-XM_004944586.3	ABHD6
ABHD6_rna-XM_414352.6	ABHD6
ABI2_ENSGALT00000062522.2	ABI2
ABI2_rna-XM_001232771.5	ABI2
ABI2_rna-XM_004942662.3	ABI2
ABI2_rna-XM_004942664.3	ABI2
ABI2_rna-XM_004942666.3	ABI2
ABI2_rna-XM_004942667.3	ABI2
ABI2_rna-XM_015289529.2	ABI2
